Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2020,June,4 Western, Colac-Otway,"1,781","8,221.8"
2020,June,4 Western, Corangamite,712,"4,469.8"
2020,June,4 Western, Gannawarra,774,"7,442.3"
2020,June,4 Western, Glenelg,"1,597","8,139.2"
2020,June,4 Western, Golden Plains,630,"2,598.0"
2020,June,4 Western, Greater Bendigo,"11,226","9,356.6"
2020,June,4 Western, Greater Geelong,"22,837","8,622.1"
2020,June,4 Western, Hepburn,849,"5,254.7"
2020,June,4 Western, Hindmarsh,356,"6,366.2"
2020,June,4 Western, Horsham,"2,278","11,379.8"
2020,June,4 Western, Loddon,488,"6,530.2"
2020,June,4 Western, Macedon Ranges,"2,456","4,818.4"
2020,June,4 Western, Mildura,"7,512","13,429.4"
2020,June,4 Western, Moorabool,"2,214","6,147.8"
2020,June,4 Western, Mount Alexander,"1,102","5,509.7"
2020,June,4 Western, Moyne,654,"3,841.0"
2020,June,4 Western, Northern Grampians,"1,079","9,462.4"
2020,June,4 Western, Pyrenees,551,"7,293.2"
2020,June,4 Western, Queenscliffe,115,"3,823.1"
2020,June,4 Western, Southern Grampians,"1,191","7,381.9"
2020,June,4 Western, Surf Coast,"1,345","3,868.2"
2020,June,4 Western, Swan Hill,"2,418","11,775.6"
2020,June,4 Western, Warrnambool,"3,267","9,194.3"
2020,June,4 Western, West Wimmera,168,"4,409.4"
2020,June,4 Western, Yarriambiack,553,"8,394.0"
2020,June,4 Western,Total,"86,148","8,401.2"
2020,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,870",
2020,June,Justice Institutions and Immigration Facilities,Total,"2,870",
2020,June,Unincorporated Vic, Unincorporated Vic,158,
2020,June,Unincorporated Vic,Total,158,
2019,June,1 North West Metro, Banyule,"9,155","6,954.6"
2019,June,1 North West Metro, Brimbank,"18,729","8,937.0"
2019,June,1 North West Metro, Darebin,"14,556","8,863.5"
2019,June,1 North West Metro, Hobsons Bay,"6,265","6,408.2"
2019,June,1 North West Metro, Hume,"21,059","9,017.1"
2019,June,1 North West Metro, Maribyrnong,"8,274","8,850.9"
2019,June,1 North West Metro, Melbourne,"34,236","19,126.9"
2019,June,1 North West Metro, Melton,"11,273","6,834.8"
2019,June,1 North West Metro, Moonee Valley,"7,896","6,059.3"
2019,June,1 North West Metro, Moreland,"14,247","7,667.5"
2019,June,1 North West Metro, Nillumbik,"2,149","3,301.1"
2019,June,1 North West Metro, Whittlesea,"16,038","6,964.1"
2019,June,1 North West Metro, Wyndham,"15,328","5,664.3"
2019,June,1 North West Metro, Yarra,"13,180","12,983.2"
2019,June,1 North West Metro,Total,"192,385","8,520.9"
2019,June,2 Eastern, Alpine,601,"4,690.9"
2019,June,2 Eastern, Bass Coast,"2,448","6,741.0"
2019,June,2 Eastern, Baw Baw,"4,714","8,828.7"
2019,June,2 Eastern, Benalla,"1,292","9,206.2"
2019,June,2 Eastern, Boroondara,"7,266","3,966.2"
2019,June,2 Eastern, East Gippsland,"4,559","9,636.8"
2019,June,2 Eastern, Greater Shepparton,"8,808","13,244.9"
2019,June,2 Eastern, Indigo,572,"3,425.4"
2019,June,2 Eastern, Knox,"11,044","6,711.5"
2019,June,2 Eastern, Latrobe,"14,273","18,891.4"
2019,June,2 Eastern, Manningham,"4,720","3,699.5"
2019,June,2 Eastern, Mansfield,453,"4,937.3"
2019,June,2 Eastern, Maroondah,"8,239","6,948.7"
2019,June,2 Eastern, Mitchell,"4,523","9,814.0"
2019,June,2 Eastern, Moira,"2,338","7,814.2"
2019,June,2 Eastern, Monash,"10,548","5,198.7"
2019,June,2 Eastern, Murrindindi,738,"5,065.9"
2019,June,2 Eastern, South Gippsland,"1,583","5,292.5"
2019,June,2 Eastern, Strathbogie,657,"6,095.8"
2019,June,2 Eastern, Towong,205,"3,394.6"
2019,June,2 Eastern, Wangaratta,"2,362","8,093.5"
2019,June,2 Eastern, Wellington,"4,257","9,592.6"
2019,June,2 Eastern, Whitehorse,"8,576","4,797.0"
2019,June,2 Eastern, Wodonga,"3,293","7,825.0"
2019,June,2 Eastern, Yarra Ranges,"8,488","5,322.5"
2019,June,2 Eastern,Total,"116,557","6,777.4"
2019,June,3 Southern Metro, Bayside,"4,844","4,533.2"
2019,June,3 Southern Metro, Cardinia,"6,411","5,715.0"
2019,June,3 Southern Metro, Casey,"21,503","6,074.9"
2019,June,3 Southern Metro, Frankston,"14,376","10,078.2"
2019,June,3 Southern Metro, Glen Eira,"6,681","4,268.1"
2019,June,3 Southern Metro, Greater Dandenong,"18,125","10,772.0"
2019,June,3 Southern Metro, Kingston,"11,621","7,008.9"
2019,June,3 Southern Metro, Mornington Peninsula,"10,640","6,347.7"
2019,June,3 Southern Metro, Port Phillip,"12,339","10,672.0"
2019,June,3 Southern Metro, Stonnington,"10,530","8,940.7"
2019,June,3 Southern Metro,Total,"117,070","7,283.8"
2019,June,4 Western, Ararat,"1,302","10,992.9"
2019,June,4 Western, Ballarat,"10,878","9,933.9"
2019,June,4 Western, Buloke,253,"4,132.0"
2019,June,4 Western, Campaspe,"4,125","10,966.4"
2019,June,4 Western, Central Goldfields,"1,316","9,983.3"
2019,June,4 Western, Colac-Otway,"1,593","7,388.0"
2019,June,4 Western, Corangamite,672,"4,195.5"
2019,June,4 Western, Gannawarra,895,"8,549.0"
2019,June,4 Western, Glenelg,"1,433","7,284.8"
2019,June,4 Western, Golden Plains,602,"2,537.7"
2019,June,4 Western, Greater Bendigo,"11,248","9,524.9"
2019,June,4 Western, Greater Geelong,"20,725","8,003.8"
2019,June,4 Western, Hepburn,796,"4,983.4"
2019,June,4 Western, Hindmarsh,360,"6,444.7"
2019,June,4 Western, Horsham,"2,725","13,679.7"
2019,June,4 Western, Loddon,481,"6,411.6"
2019,June,4 Western, Macedon Ranges,"2,496","4,969.1"
2019,June,4 Western, Mildura,"7,201","12,909.9"
