Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2020,December,4 Western, Loddon,533,"7,115.70"
2020,December,4 Western, Macedon Ranges,"2,740","5,368.60"
2020,December,4 Western, Mildura,"6,585","11,757.30"
2020,December,4 Western, Moorabool,"2,698","7,499.40"
2020,December,4 Western, Mount Alexander,953,"4,784.80"
2020,December,4 Western, Moyne,675,"3,960.20"
2020,December,4 Western, Northern Grampians,"1,202","10,611.10"
2020,December,4 Western, Pyrenees,515,"6,885.70"
2020,December,4 Western, Queenscliffe,123,"4,164.80"
2020,December,4 Western, Southern Grampians,"1,158","7,201.20"
2020,December,4 Western, Surf Coast,"1,519","4,430.60"
2020,December,4 Western, Swan Hill,"2,494","12,115.50"
2020,December,4 Western, Warrnambool,"3,334","9,422.30"
2020,December,4 Western, West Wimmera,169,"4,446.90"
2020,December,4 Western, Yarriambiack,506,"7,679.80"
2020,December,4 Western,Total,"85,783","8,374.30"
2020,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,991",
2020,December,Justice Institutions and Immigration Facilities,Total,"2,991",
2020,December,Unincorporated Vic, Unincorporated Vic,56,
2020,December,Unincorporated Vic,Total,56,
2019,December,1 North West Metro, Banyule,"9,518","7,230.80"
2019,December,1 North West Metro, Brimbank,"19,796","9,448.10"
2019,December,1 North West Metro, Darebin,"14,530","8,849.80"
2019,December,1 North West Metro, Hobsons Bay,"6,223","6,366.20"
2019,December,1 North West Metro, Hume,"21,414","9,172.00"
2019,December,1 North West Metro, Maribyrnong,"8,907","9,531.50"
2019,December,1 North West Metro, Melbourne,"36,315","20,292.80"
2019,December,1 North West Metro, Melton,"12,612","7,648.50"
2019,December,1 North West Metro, Moonee Valley,"8,280","6,354.90"
2019,December,1 North West Metro, Moreland,"14,373","7,737.10"
2019,December,1 North West Metro, Nillumbik,"2,233","3,430.40"
2019,December,1 North West Metro, Whittlesea,"16,469","7,153.00"
2019,December,1 North West Metro, Wyndham,"16,761","6,196.60"
2019,December,1 North West Metro, Yarra,"13,503","13,304.10"
2019,December,1 North West Metro,Total,"200,934","8,901.80"
2019,December,2 Eastern, Alpine,570,"4,448.30"
2019,December,2 Eastern, Bass Coast,"2,499","6,880.50"
2019,December,2 Eastern, Baw Baw,"4,762","8,918.30"
2019,December,2 Eastern, Benalla,"1,309","9,325.40"
2019,December,2 Eastern, Boroondara,"8,139","4,442.70"
2019,December,2 Eastern, East Gippsland,"4,899","10,353.80"
2019,December,2 Eastern, Greater Shepparton,"8,838","13,290.60"
2019,December,2 Eastern, Indigo,599,"3,586.60"
2019,December,2 Eastern, Knox,"11,928","7,249.40"
2019,December,2 Eastern, Latrobe,"14,001","18,529.40"
2019,December,2 Eastern, Manningham,"5,140","4,029.10"
2019,December,2 Eastern, Mansfield,472,"5,143.90"
2019,December,2 Eastern, Maroondah,"8,164","6,886.10"
2019,December,2 Eastern, Mitchell,"4,822","10,464.00"
2019,December,2 Eastern, Moira,"2,544","8,501.30"
2019,December,2 Eastern, Monash,"11,691","5,763.50"
2019,December,2 Eastern, Murrindindi,809,"5,552.50"
2019,December,2 Eastern, South Gippsland,"1,730","5,783.20"
2019,December,2 Eastern, Strathbogie,629,"5,834.30"
2019,December,2 Eastern, Towong,215,"3,559.60"
2019,December,2 Eastern, Wangaratta,"2,522","8,640.80"
2019,December,2 Eastern, Wellington,"4,589","10,340.20"
2019,December,2 Eastern, Whitehorse,"9,222","5,159.50"
2019,December,2 Eastern, Wodonga,"3,744","8,896.70"
2019,December,2 Eastern, Yarra Ranges,"9,185","5,760.00"
2019,December,2 Eastern,Total,"123,022","7,153.70"
2019,December,3 Southern Metro, Bayside,"5,103","4,775.30"
2019,December,3 Southern Metro, Cardinia,"6,813","6,074.40"
2019,December,3 Southern Metro, Casey,"22,370","6,321.50"
2019,December,3 Southern Metro, Frankston,"14,921","10,460.40"
2019,December,3 Southern Metro, Glen Eira,"7,389","4,721.10"
2019,December,3 Southern Metro, Greater Dandenong,"18,921","11,249.00"
2019,December,3 Southern Metro, Kingston,"12,107","7,303.00"
2019,December,3 Southern Metro, Mornington Peninsula,"11,214","6,689.50"
2019,December,3 Southern Metro, Port Phillip,"12,589","10,890.00"
2019,December,3 Southern Metro, Stonnington,"11,754","9,980.60"
2019,December,3 Southern Metro,Total,"123,181","7,665.10"
2019,December,4 Western, Ararat,"1,262","10,654.30"
2019,December,4 Western, Ballarat,"11,743","10,723.70"
2019,December,4 Western, Buloke,301,"4,915.10"
2019,December,4 Western, Campaspe,"3,961","10,528.40"
2019,December,4 Western, Central Goldfields,"1,408","10,678.00"
2019,December,4 Western, Colac-Otway,"1,649","7,647.00"
2019,December,4 Western, Corangamite,647,"4,038.70"
2019,December,4 Western, Gannawarra,829,"7,916.30"
2019,December,4 Western, Glenelg,"1,675","8,513.80"
2019,December,4 Western, Golden Plains,650,"2,740.10"
2019,December,4 Western, Greater Bendigo,"11,456","9,700.80"
2019,December,4 Western, Greater Geelong,"21,711","8,384.80"
2019,December,4 Western, Hepburn,870,"5,446.00"
2019,December,4 Western, Hindmarsh,330,"5,905.50"
2019,December,4 Western, Horsham,"1,951","9,793.70"
2019,December,4 Western, Loddon,476,"6,343.30"
2019,December,4 Western, Macedon Ranges,"2,444","4,865.50"
2019,December,4 Western, Mildura,"7,438","13,335.20"
2019,December,4 Western, Moorabool,"2,127","6,068.60"
2019,December,4 Western, Mount Alexander,"1,224","6,196.20"
2019,December,4 Western, Moyne,684,"4,034.70"
2019,December,4 Western, Northern Grampians,"1,104","9,682.50"
2019,December,4 Western, Pyrenees,654,"8,752.70"
2019,December,4 Western, Queenscliffe,116,"3,945.60"
2019,December,4 Western, Southern Grampians,"1,215","7,546.60"
2019,December,4 Western, Surf Coast,"1,245","3,721.30"
2019,December,4 Western, Swan Hill,"2,625","12,712.50"
2019,December,4 Western, Warrnambool,"3,452","9,812.10"
2019,December,4 Western, West Wimmera,167,"4,347.80"
2019,December,4 Western, Yarriambiack,478,"7,199.90"
2019,December,4 Western,Total,"85,892","8,494.10"
2019,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,760",
2019,December,Justice Institutions and Immigration Facilities,Total,"2,760",
2019,December,Unincorporated Vic, Unincorporated Vic,156,
2019,December,Unincorporated Vic,Total,156,
2018,December,1 North West Metro, Banyule,"9,406","7,221.50"
2018,December,1 North West Metro, Brimbank,"19,051","9,126.50"
2018,December,1 North West Metro, Darebin,"15,237","9,425.70"
2018,December,1 North West Metro, Hobsons Bay,"6,235","6,462.40"
2018,December,1 North West Metro, Hume,"20,703","9,225.00"
2018,December,1 North West Metro, Maribyrnong,"8,435","9,227.40"
2018,December,1 North West Metro, Melbourne,"36,138","21,218.10"
2018,December,1 North West Metro, Melton,"10,682","6,816.10"
2018,December,1 North West Metro, Moonee Valley,"8,617","6,737.00"
2018,December,1 North West Metro, Moreland,"14,556","8,007.50"
2018,December,1 North West Metro, Nillumbik,"2,107","3,244.50"
2018,December,1 North West Metro, Whittlesea,"15,615","6,991.40"
2018,December,1 North West Metro, Wyndham,"14,461","5,662.80"
2018,December,1 North West Metro, Yarra,"13,682","13,880.90"
2018,December,1 North West Metro,Total,"194,925","8,892.90"
2018,December,2 Eastern, Alpine,579,"4,548.30"
2018,December,2 Eastern, Bass Coast,"2,211","6,258.80"
2018,December,2 Eastern, Baw Baw,"4,490","8,632.60"
2018,December,2 Eastern, Benalla,"1,191","8,493.20"
2018,December,2 Eastern, Boroondara,"6,942","3,827.40"
2018,December,2 Eastern, East Gippsland,"4,509","9,631.30"
2018,December,2 Eastern, Greater Shepparton,"8,744","13,246.90"
2018,December,2 Eastern, Indigo,451,"2,735.20"
2018,December,2 Eastern, Knox,"10,808","6,622.10"
2018,December,2 Eastern, Latrobe,"14,608","19,423.20"
2018,December,2 Eastern, Manningham,"4,362","3,474.70"
2018,December,2 Eastern, Mansfield,480,"5,345.80"
2018,December,2 Eastern, Maroondah,"8,107","6,899.30"
2018,December,2 Eastern, Mitchell,"4,316","9,743.10"
2018,December,2 Eastern, Moira,"2,115","7,098.00"
2018,December,2 Eastern, Monash,"10,333","5,161.00"
2018,December,2 Eastern, Murrindindi,716,"4,945.40"
2018,December,2 Eastern, South Gippsland,"1,445","4,885.90"
2018,December,2 Eastern, Strathbogie,604,"5,674.60"
2018,December,2 Eastern, Towong,212,"3,501.80"
2018,December,2 Eastern, Wangaratta,"2,388","8,210.10"
2018,December,2 Eastern, Wellington,"4,004","9,096.50"
2018,December,2 Eastern, Whitehorse,"8,193","4,647.90"
2018,December,2 Eastern, Wodonga,"3,208","7,743.40"
2018,December,2 Eastern, Yarra Ranges,"7,658","4,841.60"
2018,December,2 Eastern,Total,"112,674","6,630.80"
2018,December,3 Southern Metro, Bayside,"4,686","4,431.40"
2018,December,3 Southern Metro, Cardinia,"6,132","5,724.60"
2018,December,3 Southern Metro, Casey,"20,940","6,150.80"
2018,December,3 Southern Metro, Frankston,"14,872","10,484.50"
2018,December,3 Southern Metro, Glen Eira,"6,470","4,203.50"
2018,December,3 Southern Metro, Greater Dandenong,"18,294","11,011.20"
2018,December,3 Southern Metro, Kingston,"11,004","6,732.30"
2018,December,3 Southern Metro, Mornington Peninsula,"10,797","6,511.20"
2018,December,3 Southern Metro, Port Phillip,"13,132","11,594.00"
2018,December,3 Southern Metro, Stonnington,"10,786","9,275.80"
2018,December,3 Southern Metro,Total,"117,113","7,440.30"
2018,December,4 Western, Ararat,"1,348","11,428.60"
2018,December,4 Western, Ballarat,"10,864","10,122.60"
2018,December,4 Western, Buloke,236,"3,816.90"
2018,December,4 Western, Campaspe,"3,807","10,127.70"
2018,December,4 Western, Central Goldfields,"1,295","9,804.70"
2018,December,4 Western, Colac-Otway,"1,596","7,422.60"
2018,December,4 Western, Corangamite,733,"4,541.80"
2018,December,4 Western, Gannawarra,750,"7,111.70"
2018,December,4 Western, Glenelg,"1,343","6,829.70"
2018,December,4 Western, Golden Plains,684,"2,958.70"
2018,December,4 Western, Greater Bendigo,"10,549","9,090.80"
2018,December,4 Western, Greater Geelong,"20,767","8,233.40"
2018,December,4 Western, Hepburn,740,"4,680.00"
2018,December,4 Western, Hindmarsh,351,"6,219.00"
2018,December,4 Western, Horsham,"3,021","15,200.80"
2018,December,4 Western, Loddon,490,"6,522.00"
2018,December,4 Western, Macedon Ranges,"2,331","4,719.90"
2018,December,4 Western, Mildura,"7,330","13,203.40"
2018,December,4 Western, Moorabool,"2,441","7,146.60"
2018,December,4 Western, Mount Alexander,880,"4,509.60"
2018,December,4 Western, Moyne,530,"3,138.50"
2018,December,4 Western, Northern Grampians,988,"8,643.90"
2018,December,4 Western, Pyrenees,501,"6,813.50"
2018,December,4 Western, Queenscliffe,303,"10,161.00"
2018,December,4 Western, Southern Grampians,"1,562","9,681.40"
2018,December,4 Western, Surf Coast,"1,186","3,677.30"
2018,December,4 Western, Swan Hill,"2,526","12,167.60"
2018,December,4 Western, Warrnambool,"3,950","11,330.10"
2018,December,4 Western, West Wimmera,166,"4,298.30"
2018,December,4 Western, Yarriambiack,503,"7,554.80"
2018,December,4 Western,Total,"83,771","8,411.30"
2018,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,833",
2018,December,Justice Institutions and Immigration Facilities,Total,"2,833",
2018,December,Unincorporated Vic, Unincorporated Vic,143,
2018,December,Unincorporated Vic,Total,143,
2017,December,1 North West Metro, Banyule,"9,657","7,479.40"
2017,December,1 North West Metro, Brimbank,"17,143","8,281.80"
2017,December,1 North West Metro, Darebin,"14,791","9,317.10"
2017,December,1 North West Metro, Hobsons Bay,"6,070","6,384.70"
2017,December,1 North West Metro, Hume,"20,218","9,393.30"
2017,December,1 North West Metro, Maribyrnong,"8,023","8,978.10"
2017,December,1 North West Metro, Melbourne,"36,463","22,912.40"
2017,December,1 North West Metro, Melton,"10,635","7,155.90"
2017,December,1 North West Metro, Moonee Valley,"8,605","6,861.40"
2017,December,1 North West Metro, Moreland,"12,748","7,203.30"
2017,December,1 North West Metro, Nillumbik,"2,325","3,598.10"
2017,December,1 North West Metro, Whittlesea,"15,580","7,223.50"
2017,December,1 North West Metro, Wyndham,"14,230","5,902.80"
2017,December,1 North West Metro, Yarra,"13,282","13,836.30"
2017,December,1 North West Metro,Total,"189,770","8,942.80"
2017,December,2 Eastern, Alpine,454,"3,592.30"
2017,December,2 Eastern, Bass Coast,"2,574","7,485.60"
2017,December,2 Eastern, Baw Baw,"3,750","7,400.00"
2017,December,2 Eastern, Benalla,"1,296","9,274.40"
2017,December,2 Eastern, Boroondara,"7,314","4,070.60"
2017,December,2 Eastern, East Gippsland,"3,965","8,594.20"
2017,December,2 Eastern, Greater Shepparton,"8,047","12,275.40"
2017,December,2 Eastern, Indigo,491,"3,006.20"
2017,December,2 Eastern, Knox,"11,280","6,970.40"
2017,December,2 Eastern, Latrobe,"13,337","17,804.50"
2017,December,2 Eastern, Manningham,"4,903","3,945.40"
2017,December,2 Eastern, Mansfield,664,"7,548.90"
2017,December,2 Eastern, Maroondah,"8,288","7,125.10"
2017,December,2 Eastern, Mitchell,"4,401","10,258.00"
2017,December,2 Eastern, Moira,"1,926","6,495.30"
2017,December,2 Eastern, Monash,"11,115","5,644.40"
2017,December,2 Eastern, Murrindindi,717,"5,037.20"
2017,December,2 Eastern, South Gippsland,"1,442","4,918.00"
2017,December,2 Eastern, Strathbogie,567,"5,408.20"
2017,December,2 Eastern, Towong,217,"3,593.30"
2017,December,2 Eastern, Wangaratta,"2,346","8,130.90"
2017,December,2 Eastern, Wellington,"3,666","8,369.70"
2017,December,2 Eastern, Whitehorse,"8,300","4,790.40"
2017,December,2 Eastern, Wodonga,"3,296","8,076.10"
2017,December,2 Eastern, Yarra Ranges,"8,209","5,233.00"
2017,December,2 Eastern,Total,"112,565","6,705.70"
2017,December,3 Southern Metro, Bayside,"4,761","4,565.50"
2017,December,3 Southern Metro, Cardinia,"5,828","5,691.20"
2017,December,3 Southern Metro, Casey,"21,213","6,491.70"
2017,December,3 Southern Metro, Frankston,"14,276","10,145.10"
2017,December,3 Southern Metro, Glen Eira,"6,821","4,503.60"
2017,December,3 Southern Metro, Greater Dandenong,"18,103","11,071.00"
2017,December,3 Southern Metro, Kingston,"10,709","6,649.40"
2017,December,3 Southern Metro, Mornington Peninsula,"10,915","6,662.20"
2017,December,3 Southern Metro, Port Phillip,"12,530","11,323.40"
2017,December,3 Southern Metro, Stonnington,"9,882","8,685.80"
2017,December,3 Southern Metro,Total,"115,038","7,477.50"
2017,December,4 Western, Ararat,"1,254","10,666.90"
2017,December,4 Western, Ballarat,"11,588","10,992.00"
2017,December,4 Western, Buloke,199,"3,207.10"
2017,December,4 Western, Campaspe,"3,379","8,987.40"
2017,December,4 Western, Central Goldfields,"1,452","11,043.50"
2017,December,4 Western, Colac-Otway,"1,743","8,133.50"
2017,December,4 Western, Corangamite,"1,029","6,347.90"
2017,December,4 Western, Gannawarra,569,"5,383.70"
2017,December,4 Western, Glenelg,"1,639","8,323.20"
2017,December,4 Western, Golden Plains,688,"3,048.60"
2017,December,4 Western, Greater Bendigo,"9,716","8,516.00"
2017,December,4 Western, Greater Geelong,"22,947","9,338.40"
2017,December,4 Western, Hepburn,886,"5,668.90"
2017,December,4 Western, Hindmarsh,385,"6,733.10"
2017,December,4 Western, Horsham,"2,393","12,034.20"
2017,December,4 Western, Loddon,347,"4,622.40"
2017,December,4 Western, Macedon Ranges,"2,130","4,398.80"
2017,December,4 Western, Mildura,"6,496","11,780.50"
2017,December,4 Western, Moorabool,"2,146","6,417.10"
2017,December,4 Western, Mount Alexander,"1,007","5,218.40"
2017,December,4 Western, Moyne,622,"3,703.90"
2017,December,4 Western, Northern Grampians,"1,054","9,151.70"
2017,December,4 Western, Pyrenees,527,"7,162.30"
2017,December,4 Western, Queenscliffe,133,"4,494.80"
2017,December,4 Western, Southern Grampians,"1,279","7,932.80"
2017,December,4 Western, Surf Coast,"1,166","3,719.70"
2017,December,4 Western, Swan Hill,"2,414","11,579.60"
2017,December,4 Western, Warrnambool,"3,483","10,075.50"
2017,December,4 Western, West Wimmera,188,"4,827.90"
2017,December,4 Western, Yarriambiack,478,"7,151.40"
2017,December,4 Western,Total,"83,337","8,490.40"
2017,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,539",
2017,December,Justice Institutions and Immigration Facilities,Total,"2,539",
2017,December,Unincorporated Vic, Unincorporated Vic,136,
2017,December,Unincorporated Vic,Total,136,
2016,December,1 North West Metro, Banyule,"10,074","7,904.50"
2016,December,1 North West Metro, Brimbank,"19,145","9,376.10"
2016,December,1 North West Metro, Darebin,"16,853","10,864.10"
2016,December,1 North West Metro, Hobsons Bay,"6,703","7,173.20"
2016,December,1 North West Metro, Hume,"23,653","11,424.30"
2016,December,1 North West Metro, Maribyrnong,"9,139","10,511.60"
2016,December,1 North West Metro, Melbourne,"37,855","25,911.00"
2016,December,1 North West Metro, Melton,"12,053","8,522.80"
2016,December,1 North West Metro, Moonee Valley,"9,620","7,829.30"
2016,December,1 North West Metro, Moreland,"14,866","8,628.30"
2016,December,1 North West Metro, Nillumbik,"3,174","4,945.90"
2016,December,1 North West Metro, Whittlesea,"16,669","8,050.40"
2016,December,1 North West Metro, Wyndham,"15,380","6,775.10"
2016,December,1 North West Metro, Yarra,"14,005","15,076.30"
2016,December,1 North West Metro,Total,"209,189","10,214.30"
2016,December,2 Eastern, Alpine,387,"3,076.80"
2016,December,2 Eastern, Bass Coast,"2,948","8,809.50"
2016,December,2 Eastern, Baw Baw,"4,143","8,404.30"
2016,December,2 Eastern, Benalla,"1,604","11,471.90"
2016,December,2 Eastern, Boroondara,"8,397","4,736.70"
2016,December,2 Eastern, East Gippsland,"4,158","9,118.40"
2016,December,2 Eastern, Greater Shepparton,"8,399","12,907.20"
2016,December,2 Eastern, Indigo,396,"2,449.70"
2016,December,2 Eastern, Knox,"12,139","7,570.20"
2016,December,2 Eastern, Latrobe,"14,480","19,404.50"
2016,December,2 Eastern, Manningham,"5,015","4,091.50"
2016,December,2 Eastern, Mansfield,618,"7,124.70"
2016,December,2 Eastern, Maroondah,"9,196","8,010.50"
2016,December,2 Eastern, Mitchell,"4,709","11,266.90"
2016,December,2 Eastern, Moira,"1,946","6,599.70"
2016,December,2 Eastern, Monash,"12,536","6,508.00"
2016,December,2 Eastern, Murrindindi,715,"5,088.20"
2016,December,2 Eastern, South Gippsland,"1,503","5,161.00"
2016,December,2 Eastern, Strathbogie,678,"6,546.30"
2016,December,2 Eastern, Towong,243,"4,019.20"
2016,December,2 Eastern, Wangaratta,"2,594","9,072.50"
2016,December,2 Eastern, Wellington,"4,747","10,905.10"
2016,December,2 Eastern, Whitehorse,"7,988","4,708.80"
2016,December,2 Eastern, Wodonga,"3,310","8,254.40"
2016,December,2 Eastern, Yarra Ranges,"8,917","5,744.50"
2016,December,2 Eastern,Total,"121,766","7,357.40"
2016,December,3 Southern Metro, Bayside,"5,395","5,242.30"
2016,December,3 Southern Metro, Cardinia,"7,231","7,410.90"
2016,December,3 Southern Metro, Casey,"24,079","7,698.20"
2016,December,3 Southern Metro, Frankston,"16,909","12,121.00"
2016,December,3 Southern Metro, Glen Eira,"7,521","5,061.80"
2016,December,3 Southern Metro, Greater Dandenong,"20,632","12,877.10"
2016,December,3 Southern Metro, Kingston,"11,567","7,277.50"
2016,December,3 Southern Metro, Mornington Peninsula,"12,006","7,432.80"
2016,December,3 Southern Metro, Port Phillip,"13,635","12,552.10"
2016,December,3 Southern Metro, Stonnington,"11,592","10,443.00"
2016,December,3 Southern Metro,Total,"130,567","8,694.70"
2016,December,4 Western, Ararat,"1,179","10,038.30"
2016,December,4 Western, Ballarat,"12,089","11,680.20"
2016,December,4 Western, Buloke,230,"3,660.10"
2016,December,4 Western, Campaspe,"3,850","10,240.70"
2016,December,4 Western, Central Goldfields,"1,508","11,522.90"
2016,December,4 Western, Colac-Otway,"1,996","9,343.70"
2016,December,4 Western, Corangamite,959,"5,904.10"
2016,December,4 Western, Gannawarra,612,"5,791.60"
2016,December,4 Western, Glenelg,"1,674","8,472.10"
2016,December,4 Western, Golden Plains,865,"3,929.00"
2016,December,4 Western, Greater Bendigo,"10,853","9,667.10"
2016,December,4 Western, Greater Geelong,"22,962","9,586.30"
2016,December,4 Western, Hepburn,917,"5,906.60"
2016,December,4 Western, Hindmarsh,370,"6,397.00"
2016,December,4 Western, Horsham,"2,824","14,202.40"
2016,December,4 Western, Loddon,478,"6,324.40"
2016,December,4 Western, Macedon Ranges,"2,456","5,172.70"
2016,December,4 Western, Mildura,"6,518","11,925.10"
2016,December,4 Western, Moorabool,"2,534","7,755.90"
2016,December,4 Western, Mount Alexander,"1,254","6,566.50"
2016,December,4 Western, Moyne,646,"3,859.70"
2016,December,4 Western, Northern Grampians,"1,348","11,650.80"
2016,December,4 Western, Pyrenees,561,"7,668.10"
2016,December,4 Western, Queenscliffe,143,"4,882.20"
2016,December,4 Western, Southern Grampians,"1,350","8,373.10"
2016,December,4 Western, Surf Coast,"1,352","4,437.90"
2016,December,4 Western, Swan Hill,"2,224","10,643.20"
2016,December,4 Western, Warrnambool,"3,246","9,479.60"
2016,December,4 Western, West Wimmera,187,"4,749.80"
2016,December,4 Western, Yarriambiack,440,"6,525.30"
2016,December,4 Western,Total,"87,625","9,056.20"
2016,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,681",
2016,December,Justice Institutions and Immigration Facilities,Total,"1,681",
2016,December,Unincorporated Vic, Unincorporated Vic,137,
2016,December,Unincorporated Vic,Total,137,
2015,December,1 North West Metro, Banyule,"9,228","7,318.70"
2015,December,1 North West Metro, Brimbank,"19,229","9,573.30"
2015,December,1 North West Metro, Darebin,"15,342","10,095.10"
2015,December,1 North West Metro, Hobsons Bay,"6,896","7,522.30"
2015,December,1 North West Metro, Hume,"20,496","10,342.30"
2015,December,1 North West Metro, Maribyrnong,"8,680","10,237.90"
2015,December,1 North West Metro, Melbourne,"34,395","25,129.30"
2015,December,1 North West Metro, Melton,"11,019","8,167.40"
2015,December,1 North West Metro, Moonee Valley,"9,621","8,002.10"
2015,December,1 North West Metro, Moreland,"14,045","8,366.60"
2015,December,1 North West Metro, Nillumbik,"3,022","4,746.00"
2015,December,1 North West Metro, Whittlesea,"13,733","6,976.50"
2015,December,1 North West Metro, Wyndham,"14,315","6,695.00"
2015,December,1 North West Metro, Yarra,"12,954","14,405.70"
2015,December,1 North West Metro,Total,"192,975","9,757.50"
2015,December,2 Eastern, Alpine,489,"3,934.30"
2015,December,2 Eastern, Bass Coast,"2,789","8,561.50"
2015,December,2 Eastern, Baw Baw,"3,771","7,883.00"
2015,December,2 Eastern, Benalla,"1,150","8,259.70"
2015,December,2 Eastern, Boroondara,"7,457","4,267.20"
2015,December,2 Eastern, East Gippsland,"4,193","9,345.20"
2015,December,2 Eastern, Greater Shepparton,"7,650","11,862.50"
2015,December,2 Eastern, Indigo,515,"3,234.50"
2015,December,2 Eastern, Knox,"10,122","6,378.10"
2015,December,2 Eastern, Latrobe,"13,270","17,868.20"
2015,December,2 Eastern, Manningham,"4,382","3,627.90"
2015,December,2 Eastern, Mansfield,414,"4,853.50"
2015,December,2 Eastern, Maroondah,"7,780","6,883.60"
2015,December,2 Eastern, Mitchell,"4,118","10,227.50"
2015,December,2 Eastern, Moira,"1,538","5,251.30"
2015,December,2 Eastern, Monash,"10,097","5,337.40"
2015,December,2 Eastern, Murrindindi,647,"4,672.20"
2015,December,2 Eastern, South Gippsland,"1,343","4,666.30"
2015,December,2 Eastern, Strathbogie,506,"4,973.00"
2015,December,2 Eastern, Towong,194,"3,230.60"
